series_id,dimension,record_id,publication_year,reference_period,exact_source_label,numerator,denominator,universe,industry_classification,size_bands,decision,segment,evidence_source,evidence_excerpt,adjustment,reviewer,review_date,source_headers,source_notes,collection_mode
internet,Basic connectivity,2006-07:4-1:8,2006-07,2006–07,All businesses / Proportion of businesses with: / Internet access,Internet access,Businesses in the selected category and population.,Historical scope equivalence not independently established. Do not assume agriculture coverage from absent rows.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2006-07,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO004_200607 Selected Characteristics of Australian Business, 2006-07"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Fri 19 Sep 2008"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business use of information technology, innovator status by key indicators, by employment size, by industry–2006–07"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation-active businesses"", """", """", """", ""Non innovation-active businesses"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]",[],Not independently verified for this item
web,Basic connectivity,2006-07:4-1:9,2006-07,2006–07,All businesses / Proportion of businesses with: / web presence,web presence,Businesses in the selected category and population.,Historical scope equivalence not independently established. Do not assume agriculture coverage from absent rows.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2006-07,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO004_200607 Selected Characteristics of Australian Business, 2006-07"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Fri 19 Sep 2008"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business use of information technology, innovator status by key indicators, by employment size, by industry–2006–07"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation-active businesses"", """", """", """", ""Non innovation-active businesses"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]",[],Not independently verified for this item
placed,Digital transactions,2006-07:4-1:10,2006-07,2006–07,All businesses / Proportion of businesses which: / placed orders via the Internet or web,placed orders via the Internet or web,Businesses in the selected category and population.,Historical scope equivalence not independently established. Do not assume agriculture coverage from absent rows.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2006-07,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO004_200607 Selected Characteristics of Australian Business, 2006-07"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Fri 19 Sep 2008"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business use of information technology, innovator status by key indicators, by employment size, by industry–2006–07"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation-active businesses"", """", """", """", ""Non innovation-active businesses"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]",[],Not independently verified for this item
received,Digital transactions,2006-07:4-1:11,2006-07,2006–07,All businesses / Proportion of businesses which: / received orders via the Internet or web,received orders via the Internet or web,Businesses in the selected category and population.,Historical scope equivalence not independently established. Do not assume agriculture coverage from absent rows.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2006-07,data_2006-07/extracted/81670do004_200607/81670DO004_200607.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO004_200607 Selected Characteristics of Australian Business, 2006-07"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Fri 19 Sep 2008"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business use of information technology, innovator status by key indicators, by employment size, by industry–2006–07"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation-active businesses"", """", """", """", ""Non innovation-active businesses"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]",[],Not independently verified for this item
internet,Basic connectivity,2008-09:4-1:8,2008-09,2008–09,All businesses / Proportion of businesses with: / Internet access,Internet access,All businesses in the selected category and population.,Historical scope equivalence not independently established. Do not assume agriculture coverage from absent rows.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2008-09,data_2008-09/extracted/81670do004_200809/81670DO004_200809.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO004_200809 Selected Characteristics of Australian Business, 2008-09"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Thurs 16 Sep 2010"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business use of information technology, innovator status by key indicators, by employment size, by industry 2008–09"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation–active businesses"", """", """", """", ""Non innovation–active business"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]","[{""sourceRow"": 4, ""sourceColumn"": 0, ""cell"": ""A4"", ""text"": ""Proportion of all businesses in each output category. See Glossary for definitions of innovation status.""}]",Not independently verified for this item
web,Basic connectivity,2008-09:4-1:9,2008-09,2008–09,All businesses / Proportion of businesses with: / web presence,web presence,All businesses in the selected category and population.,Historical scope equivalence not independently established. Do not assume agriculture coverage from absent rows.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2008-09,data_2008-09/extracted/81670do004_200809/81670DO004_200809.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO004_200809 Selected Characteristics of Australian Business, 2008-09"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Thurs 16 Sep 2010"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business use of information technology, innovator status by key indicators, by employment size, by industry 2008–09"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation–active businesses"", """", """", """", ""Non innovation–active business"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]","[{""sourceRow"": 4, ""sourceColumn"": 0, ""cell"": ""A4"", ""text"": ""Proportion of all businesses in each output category. See Glossary for definitions of innovation status.""}]",Not independently verified for this item
placed,Digital transactions,2008-09:4-1:10,2008-09,2008–09,All businesses / Proportion of businesses which: / placed orders via the Internet or web,placed orders via the Internet or web,All businesses in the selected category and population.,Historical scope equivalence not independently established. Do not assume agriculture coverage from absent rows.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2008-09,data_2008-09/extracted/81670do004_200809/81670DO004_200809.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO004_200809 Selected Characteristics of Australian Business, 2008-09"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Thurs 16 Sep 2010"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business use of information technology, innovator status by key indicators, by employment size, by industry 2008–09"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation–active businesses"", """", """", """", ""Non innovation–active business"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]","[{""sourceRow"": 4, ""sourceColumn"": 0, ""cell"": ""A4"", ""text"": ""Proportion of all businesses in each output category. See Glossary for definitions of innovation status.""}]",Not independently verified for this item
received,Digital transactions,2008-09:4-1:11,2008-09,2008–09,All businesses / Proportion of businesses which: / received orders via the Internet or web,received orders via the Internet or web,All businesses in the selected category and population.,Historical scope equivalence not independently established. Do not assume agriculture coverage from absent rows.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2008-09,data_2008-09/extracted/81670do004_200809/81670DO004_200809.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO004_200809 Selected Characteristics of Australian Business, 2008-09"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Thurs 16 Sep 2010"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business use of information technology, innovator status by key indicators, by employment size, by industry 2008–09"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation–active businesses"", """", """", """", ""Non innovation–active business"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web"", ""Internet access"", ""web presence"", ""placed orders via the Internet or web"", ""received orders via the Internet or web""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]","[{""sourceRow"": 4, ""sourceColumn"": 0, ""cell"": ""A4"", ""text"": ""Proportion of all businesses in each output category. See Glossary for definitions of innovation status.""}]",Not independently verified for this item
internet,Basic connectivity,2009-10:7-1:8,2009-10,2009–10,All businesses / Proportion of businesses with: / internet access,internet access,"All businesses in the selected category and population. Coverage: including Agriculture, Forestry and Fishing.",Historical scope equivalence not independently established. Agriculture included in selected table.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2009-10,data_2009-10/extracted/81670do007_200910/81670DO007_200910.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO007_200910 Selected Characteristics of Australian Business, 2009-10"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Thurs 15 Sep 2011"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business Use of Information Technology, innovation status by key indicators, by employment size, by industry, 2009–10"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation–active businesses"", """", """", """", ""Non–Innovation active businesses"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""internet access"", ""web presence"", ""placed orders via the internet"", ""received orders via the intenet"", ""internet access"", ""web presence"", ""placed orders via the internet"", ""received orders via the intenet"", ""internet access"", ""web presence"", ""placed orders via the internet"", ""received orders via the intenet""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]","[{""sourceRow"": 4, ""sourceColumn"": 0, ""cell"": ""A4"", ""text"": ""Proportions are of all businesses in each output category. See Glossary for definitions of innovation status.""}, {""sourceRow"": 7, ""sourceColumn"": 1, ""cell"": ""B7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 2, ""cell"": ""C7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 3, ""cell"": ""D7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 4, ""cell"": ""E7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 5, ""cell"": ""F7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 6, ""cell"": ""G7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 7, ""cell"": ""H7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 8, ""cell"": ""I7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 9, ""cell"": ""J7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 10, ""cell"": ""K7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 11, ""cell"": ""L7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 12, ""cell"": ""M7"", ""text"": ""During the financial year ending 30 June 2010.""}]",Not independently verified for this item
web,Basic connectivity,2009-10:7-1:9,2009-10,2009–10,All businesses / Proportion of businesses with: / web presence,web presence,"All businesses in the selected category and population. Coverage: including Agriculture, Forestry and Fishing.",Historical scope equivalence not independently established. Agriculture included in selected table.,Historical classification equivalence not approved,0–4; 5–19; 20–199; 200+ persons; overlapping 0–19 subtotal excluded,D,2009-10,data_2009-10/extracted/81670do007_200910/81670DO007_200910.xls | Table_1 | Original workbook only,Original values and headers checked; full historical questionnaire and coverage equivalence is not established. Snapshot only.,None,Codex source-cell audit; conservative research gate,2026-09-14,"[{""row"": 1, ""values"": [""Australian Bureau of Statistics"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 2, ""values"": [""81670DO007_200910 Selected Characteristics of Australian Business, 2009-10"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 3, ""values"": [""Released at 11:30 am (Canberra time) Thurs 15 Sep 2011"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 4, ""values"": [""Table 1 Business Use of Information Technology, innovation status by key indicators, by employment size, by industry, 2009–10"", """", """", """", """", """", """", """", """", """", """", """", """"]}, {""row"": 5, ""values"": ["""", ""Innovation–active businesses"", """", """", """", ""Non–Innovation active businesses"", """", """", """", ""All businesses"", """", """", """"]}, {""row"": 6, ""values"": ["""", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """", ""Proportion of businesses with:"", """", ""Proportion of businesses which:"", """"]}, {""row"": 7, ""values"": ["""", ""internet access"", ""web presence"", ""placed orders via the internet"", ""received orders via the intenet"", ""internet access"", ""web presence"", ""placed orders via the internet"", ""received orders via the intenet"", ""internet access"", ""web presence"", ""placed orders via the internet"", ""received orders via the intenet""]}, {""row"": 8, ""values"": ["""", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%"", ""%""]}, {""row"": 9, ""values"": [""Employment size"", """", """", """", """", """", """", """", """", """", """", """", """"]}]","[{""sourceRow"": 4, ""sourceColumn"": 0, ""cell"": ""A4"", ""text"": ""Proportions are of all businesses in each output category. See Glossary for definitions of innovation status.""}, {""sourceRow"": 7, ""sourceColumn"": 1, ""cell"": ""B7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 2, ""cell"": ""C7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 3, ""cell"": ""D7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 4, ""cell"": ""E7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 5, ""cell"": ""F7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 6, ""cell"": ""G7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 7, ""cell"": ""H7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 8, ""cell"": ""I7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 9, ""cell"": ""J7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 10, ""cell"": ""K7"", ""text"": ""As at 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 11, ""cell"": ""L7"", ""text"": ""During the financial year ending 30 June 2010.""}, {""sourceRow"": 7, ""sourceColumn"": 12, ""cell"": ""M7"", ""text"": ""During the financial year ending 30 June 2010.""}]",Not independently verified for this item
