year,variable,label,group,category,value,unit,status,note,denominator,record_id,workbook,sheet,cell,source_number_format,source_value,temporal_gate
2019-20,ai,Artificial intelligence,Overall,Total,2,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J7,"#,##0.0",2,D
2019-20,ai,Artificial intelligence,Employment size,0–4 persons,1.8,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J9,"#,##0.0",1.8,D
2019-20,ai,Artificial intelligence,Employment size,5–19 persons,2,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J10,"#,##0.0",2,D
2019-20,ai,Artificial intelligence,Employment size,20–199 persons,3.4,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J12,"#,##0.0",3.4,D
2019-20,ai,Artificial intelligence,Employment size,200 or more persons,12.4,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J13,"#,##0.0",12.4,D
2019-20,ai,Artificial intelligence,Industry,"Agriculture, Forestry and Fishing",,%,suppressed,"not available for publication but included in totals where applicable, unless otherwise indicated","Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J15,"#,##0.0",,D
2019-20,ai,Artificial intelligence,Industry,Mining,5.1,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J16,"#,##0.0",5.1,D
2019-20,ai,Artificial intelligence,Industry,Manufacturing,1.9,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J17,"#,##0.0",1.9,D
2019-20,ai,Artificial intelligence,Industry,"Electricity, Gas, Water and Waste Services",2,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J18,"#,##0.0",2,D
2019-20,ai,Artificial intelligence,Industry,Construction,0.4,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J19,"#,##0.0",0.4,D
2019-20,ai,Artificial intelligence,Industry,Wholesale Trade,1.5,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J20,"#,##0.0",1.5,D
2019-20,ai,Artificial intelligence,Industry,Retail Trade,1.2,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J21,"#,##0.0",1.2,D
2019-20,ai,Artificial intelligence,Industry,Accommodation and Food Services,0.3,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J22,"#,##0.0",0.3,D
2019-20,ai,Artificial intelligence,Industry,"Transport, Postal and Warehousing",1.4,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J23,"#,##0.0",1.4,D
2019-20,ai,Artificial intelligence,Industry,Information Media and Telecommunications,8.3,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J24,"#,##0.0",8.3,D
2019-20,ai,Artificial intelligence,Industry,Financial and Insurance Services,4.1,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J25,"#,##0.0",4.1,D
2019-20,ai,Artificial intelligence,Industry,"Rental, Hiring and Real Estate Services",0.9,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J26,"#,##0.0",0.9,D
2019-20,ai,Artificial intelligence,Industry,"Professional, Scientific and Technical Services",5.8,%,published,,"Businesses in the selected category and population. Coverage includes Agriculture, Forestry and Fishing.",2019-20:3-7:8,data_2019-20/81670DO003_201920.xlsx,Table_7,J27,"#,##0.0",5.8,D
